date,price
01/05/15,2011.345
01/06/15,2011.345
01/07/15,2017.58
01/08/15,2047.345
01/09/15,2051.38
01/12/15,2035.94
01/13/15,2032.59
01/14/15,2003.42
01/15/15,2006.41
01/16/15,2004.29
01/19/15,2016.715
01/20/15,2016.715
01/21/15,2025.165
01/22/15,2045.5
01/23/15,2056.76
01/26/15,2049.295
01/27/15,2033.885
01/28/15,2021.99
01/29/15,2006.91
01/30/15,2008.35
02/02/15,2001.28
02/03/15,2036.505
02/04/15,2045.73
02/05/15,2053.5
02/06/15,2061.185
02/09/15,2049.02
02/10/15,2059.74
02/11/15,2065.735
02/12/15,2079.255
02/13/15,2091.865
02/16/15,2091.865
02/17/15,2095.55
02/18/15,2096.19
02/19/15,2096.46
02/20/15,2098.025
02/23/15,2106.525
02/24/15,2111.905
02/25/15,2114.74
02/26/15,2108.835
02/27/15,2108.245
03/02/15,2111.01
03/03/15,2107.01
03/04/15,2101.105
03/05/15,2099.735
03/06/15,2084.09
03/09/15,2077.85
03/10/15,2060.15
03/11/15,2044.885
03/12/15,2053.755
03/13/15,2052.865
03/16/15,2068.38
03/17/15,2072.835
03/18/15,2084.04
03/19/15,2092.125
03/20/15,2102.12
03/23/15,2109.64
03/24/15,2099.565
03/25/15,2079.24
03/26/15,2056.325
03/27/15,2057.895
03/30/15,2076.54
03/31/15,2075.545
04/01/15,2058.005
04/02/15,2064.745
04/03/15,2064.745
04/06/15,2071.755
04/07/15,2082.955
04/08/15,2079.995
04/09/15,2083.8
04/10/15,2097.06
04/13/15,2099.99
04/14/15,2090.93
04/15/15,2104.865
04/16/15,2105.66
04/17/15,2087.475
04/20/15,2094.025
04/21/15,2102.01
04/22/15,2100.515
04/23/15,2111.84
04/24/15,2116.86
04/27/15,2116.48
04/28/15,2105.465
04/29/15,2105.53
04/30/15,2091.555
05/01/15,2097.895
05/04/15,2115.59
05/05/15,2101.85
05/06/15,2083.175
05/07/15,2083.945
05/08/15,2104.895
05/11/15,2111.135
05/12/15,2095.315
05/13/15,2103.115
05/14/15,2110.94
05/15/15,2120.35
05/18/15,2125.895
05/19/15,2128.76
05/20/15,2128.655
05/21/15,2128.615
05/22/15,2129.105
05/25/15,2129.105
05/26/15,2112.26
05/27/15,2115.675
05/28/15,2117.565
05/29/15,2112.775
06/01/15,2110.845
06/02/15,2108.365
06/03/15,2115.765
06/04/15,2103.06
06/05/15,2093.33
06/08/15,2086.06
06/09/15,2078.88
06/10/15,2094.81
06/11/15,2110.63
06/12/15,2099.38
06/15/15,2081.915
06/16/15,2089.75
06/17/15,2097.825
06/18/15,2114.115
06/19/15,2115.545
06/22/15,2121.185
06/23/15,2123.96
06/24/15,2116.84
06/25/15,2108.91
06/26/15,2102.15
06/29/15,2077.635
06/30/15,2065.3
07/01/15,2074.89
07/02/15,2078.04
07/03/15,2078.04
07/06/15,2068.505
07/07/15,2063.88
07/08/15,2061.16
07/09/15,2062.005
07/10/15,2067.025
07/13/15,2090.35
07/14/15,2105.08
07/15/15,2108.315
07/16/15,2117.485
07/17/15,2124.395
07/20/15,2128.24
07/21/15,2121.945
07/22/15,2114.255
07/23/15,2107.75
07/24/15,2091.55
07/27/15,2070.855
07/28/15,2082.345
07/29/15,2102.34
07/30/15,2102.725
07/31/15,2108.155
08/03/15,2096.505
08/04/15,2095.555
08/05/15,2103.965
08/06/15,2089.425
08/07/15,2075.26
08/10/15,2093.165
08/11/15,2089.575
08/12/15,2070.575
